platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type,start_date,end_date,year,week_number,rank_within_week
twitch,gamesdonequick,GamesDoneQuick,22510310,8148410,90594,52374,9335,22832,9014423,The Legend of Zelda: Ocarina of Time,https://static-cdn.jtvnw.net/jtv_user_pictures/b3fc1f16-0818-4121-8711-c31b9469bc21-profile_image-300x300.png,US,en,partner,Organization,2025-01-06,2025-01-12,2025,2,1
twitch,sodapoppin,sodapoppin,26301881,2658749,48415,16050,9940,5705,3802912,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-300x300.png,US,en,partner,Male,2025-01-06,2025-01-12,2025,2,2
twitch,evelone2004,evelone2004,738000896,1816317,192204,62274,1750,42290,8839511,Counter-Strike,https://static-cdn.jtvnw.net/jtv_user_pictures/4af340ba-8d13-44e8-9e72-14c4c86d1f20-profile_image-300x300.png,UA,ru,without status,Male,2025-01-06,2025-01-12,2025,2,3
twitch,kaicenat,KaiCenat,641972806,1711703,101955,76931,1335,73118,10098785,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-300x300.png,US,en,partner,Male,2025-01-06,2025-01-12,2025,2,4
twitch,eliasn97,eliasn97,238813810,1657017,76367,31070,3200,4152,2904695,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-300x300.png,DE,de,partner,Male,2025-01-06,2025-01-12,2025,2,5
twitch,timthetatman,TimTheTatman,36769016,1538774,59101,26156,3530,33882,4339449,Marvel Rivals,https://static-cdn.jtvnw.net/jtv_user_pictures/7dcd89d5-6700-4b05-b9c9-c7dac61c32db-profile_image-300x300.png,US,en,partner,Male,2025-01-06,2025-01-12,2025,2,6
twitch,vedal987,vedal987,85498365,1532450,20228,9317,9870,16028,2481254,The Long Drive,https://static-cdn.jtvnw.net/jtv_user_pictures/dd956f46-3776-4dfd-8bc3-e4f74c5ede67-profile_image-300x300.png,UK,en,partner,Male,2025-01-06,2025-01-12,2025,2,7
twitch,caedrel,Caedrel,92038375,1465215,48836,30686,2865,7215,3787330,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/483a37ac-58fd-4e2f-8dc3-2c68a0164112-profile_image-300x300.png,DE,en,partner,Male,2025-01-06,2025-01-12,2025,2,8
twitch,hasanabi,HasanAbi,207813352,1464099,66087,29089,3020,-6460,3963940,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-300x300.jpeg,US,en,partner,Male,2025-01-06,2025-01-12,2025,2,9
twitch,caseoh_,caseoh_,267160288,1460344,79002,58806,1490,68710,5857766,Schoolboy Runaway,https://static-cdn.jtvnw.net/jtv_user_pictures/ef28ba12-c8ed-46d4-838b-a4c95ef5b469-profile_image-300x300.png,US,en,partner,Male,2025-01-06,2025-01-12,2025,2,10
twitch,zackrawrr,zackrawrr,552120296,1450322,109865,37835,2300,6768,2331697,Path of Exile 2,https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-300x300.png,US,en,partner,Male,2025-01-06,2025-01-12,2025,2,11
twitch,kato_junichi0817,加藤純一うん〇ちゃん,545050196,1290952,88436,24244,3195,2091,5234395,7 Days to Die,https://static-cdn.jtvnw.net/jtv_user_pictures/a4977cfd-1962-41ec-9355-ab2611b97552-profile_image-300x300.png,JA,ja,partner,Male,2025-01-06,2025-01-12,2025,2,12
twitch,fps_shaka,fps_shaka,49207184,1271233,51230,17064,4470,2134,5389492,Street Fighter 6,https://static-cdn.jtvnw.net/jtv_user_pictures/61f568bf-884b-4126-b17c-fc525c6d3bd4-profile_image-300x300.png,JA,ja,partner,Male,2025-01-06,2025-01-12,2025,2,13
twitch,loltyler1,loltyler1,51496027,1236085,59160,22074,3360,10416,3281970,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-300x300.png,US,en,partner,Male,2025-01-06,2025-01-12,2025,2,14
twitch,agent00,Agent00,90222258,1193802,24415,9977,7180,20444,4620704,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/a83b628d80bcbe4f-profile_image-300x300.png,CA,en,partner,Male,2025-01-06,2025-01-12,2025,2,15
twitch,gaules,Gaules,181077473,1144099,144747,6949,9880,18850,2764713,Kings League,https://static-cdn.jtvnw.net/jtv_user_pictures/ea0fe422-84bd-4aee-9d10-fd4b0b3a7054-profile_image-300x300.png,BR,pt,partner,Male,2025-01-06,2025-01-12,2025,2,16
twitch,piratesoftware,PirateSoftware,151368796,1061793,33748,15483,4115,13499,1582084,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/9a1edcb1-7d62-48ab-b071-1ef64ab0f629-profile_image-300x300.png,US,en,partner,Male,2025-01-06,2025-01-12,2025,2,17
twitch,necros,Necros,129625799,1030345,45000,15593,3965,31585,2930909,Marvel Rivals,https://static-cdn.jtvnw.net/jtv_user_pictures/d129a627-ea3f-4188-af1e-c30e2a1725c9-profile_image-300x300.png,RS,en,partner,Male,2025-01-06,2025-01-12,2025,2,18
twitch,noway4u_sir,NoWay4u_Sir,85397463,1021529,22144,14859,4125,2067,2072386,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/9e619d88755f56a8-profile_image-300x300.png,DE,de,partner,Male,2025-01-06,2025-01-12,2025,2,19
twitch,jynxzi,Jynxzi,411377640,1004055,34760,24440,2465,51958,5192414,Tom Clancy's Rainbow Six Siege,https://static-cdn.jtvnw.net/jtv_user_pictures/645d98a0-a2eb-48a3-b687-cfbc55243e4a-profile_image-300x300.png,US,en,partner,Male,2025-01-06,2025-01-12,2025,2,20
twitch,aminematue,aminematue,407388596,972602,67003,41388,1410,11311,3995529,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/13e55cbe-a1b0-4f4c-b69b-2748274b9e48-profile_image-300x300.png,FR,fr,partner,Male,2025-01-06,2025-01-12,2025,2,21
twitch,summit1g,summit1g,26490481,958974,16355,9973,5770,300,1986023,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-300x300.png,US,en,partner,Male,2025-01-06,2025-01-12,2025,2,22
