platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type,start_date,end_date,year,week_number
twitch,kaicenat,KaiCenat,641972806,16976415,234138,102217,9965,322007,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-300x300.png,US,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,hasanabi,HasanAbi,207813352,5237622,313413,75182,4180,50517,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-300x300.jpeg,US,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,zackrawrr,zackrawrr,552120296,3433573,171481,72414,2845,14558,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-300x300.png,US,en,without status,Male,2024-11-11,2024-11-17,2024,46
twitch,dota2_paragon_ru,dota2_paragon_ru,851088609,2676290,101239,35606,4510,10919,9306947,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/af41ef07-33e4-4ddb-aa9f-649f49cbef71-profile_image-300x300.png,,ru,partner,Organization,2024-11-11,2024-11-17,2024,46
twitch,eliasn97,eliasn97,238813810,1806822,78856,37383,2900,3199,363472,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-300x300.png,DE,de,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,esl_dota2,ESL_DOTA2,36481935,1763237,38955,10666,9920,4647,4174929,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/507dfb75-0725-4d3d-b823-52347e1d261b-profile_image-300x300.png,,en,partner,Organization,2024-11-11,2024-11-17,2024,46
twitch,bastighg,BastiGHG,38121996,1463371,34027,20807,4220,22618,,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/865826b7-35e7-47be-9bb8-aff3be1fa08f-profile_image-300x300.png,DE,de,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,kato_junichi0817,うん〇ちゃん,545050196,1421649,52057,21219,4020,94,5132281,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/a4977cfd-1962-41ec-9355-ab2611b97552-profile_image-300x300.png,JP,ja,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,papaplatte,Papaplatte,50985620,1315490,56097,33732,2340,12764,,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/04abc1b4-7bad-4b55-8da8-c0f1cf031bda-profile_image-300x300.png,DE,de,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,nadeshot,Nadeshot,21130533,1256945,19301,7573,9960,14208,,Call of Duty: Black Ops 6,https://static-cdn.jtvnw.net/jtv_user_pictures/adfc93a9-6fb9-487a-9a30-791d221a8da4-profile_image-300x300.png,US,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,jynxzi,Jynxzi,411377640,1229281,52816,31188,2365,7496,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/645d98a0-a2eb-48a3-b687-cfbc55243e4a-profile_image-300x300.png,US,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,k4sen,k4sen,44525650,1051985,31563,17223,3665,2537,,Food & Drink,https://static-cdn.jtvnw.net/jtv_user_pictures/794e906d-64d7-41ab-bb89-8fb159e4124b-profile_image-300x300.png,JP,ja,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,fps_shaka,fps_shaka,49207184,1051161,31041,15690,4020,1492,,FINAL FANTASY XIV ONLINE,https://static-cdn.jtvnw.net/jtv_user_pictures/61f568bf-884b-4126-b17c-fc525c6d3bd4-profile_image-300x300.png,JP,ja,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,caseoh_,caseoh_,267160288,1001379,65904,49249,1220,-7698,,Anemoiapolis,https://static-cdn.jtvnw.net/jtv_user_pictures/ef28ba12-c8ed-46d4-838b-a4c95ef5b469-profile_image-300x300.png,US,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,kamet0,Kamet0,27115917,880495,133187,51044,1035,5905,2325881,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/9e12862d-a8d0-4df2-81aa-e2241022dc98-profile_image-300x300.jpg,FR,fr,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,letshugotv,LetsHugoTV,117385099,872485,22472,5289,9900,6203,,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/111bbc84-a87d-49fc-9b8e-8b9bf0c67297-profile_image-300x300.png,LU,de,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,nmplol,Nmplol,21841789,834976,71873,32852,1525,33062,,Rust,https://static-cdn.jtvnw.net/jtv_user_pictures/e4d9bf96-311d-487a-b5eb-9f9a94e0f795-profile_image-300x300.png,US,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,rostislav_999,rostislav_999,475757024,831677,26129,17418,2865,20932,,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/f5d92185-4d9d-4995-baf2-1089975f5c91-profile_image-300x300.png,BY,ru,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,noway4u_sir,NoWay4u_Sir,85397463,803447,24594,14499,3325,1649,1536605,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/9e619d88755f56a8-profile_image-300x300.png,DE,de,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,summit1g,summit1g,26490481,781650,15138,9233,5080,1345,,Call of Duty: Black Ops 6,https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-300x300.png,US,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,rubius,Rubius,39276140,742356,49120,24609,1810,13892,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-300x300.jpg,ES,es,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,elxokas,elxokas,31919607,730745,40699,14591,3005,11913,,Pokémon Añil,https://static-cdn.jtvnw.net/jtv_user_pictures/198c0fe9-cf41-4ef1-ad55-405c1e599f25-profile_image-300x300.png,ES,es,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,mizkif,Mizkif,94753024,725888,49263,24130,1805,477,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/ddd88d33-6c4f-424f-9246-5f4978c93148-profile_image-300x300.png,US,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,clix,Clix,233300375,700568,17489,6498,6470,28771,,Fortnite,https://static-cdn.jtvnw.net/jtv_user_pictures/6f4129f6-3750-4c02-b7c8-c88a05064129-profile_image-300x300.png,US,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,stylishnoob4,stylishnoob4,50988750,664161,23480,14625,2725,926,,Apex Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/stylishnoob4-profile_image-08271f11296c16df-300x300.png,JP,ja,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,ironmouse,ironmouse,175831187,635286,36790,12622,3020,24562,,Rust,https://static-cdn.jtvnw.net/jtv_user_pictures/c2aca19b-b318-4398-99a5-fb6a597536fd-profile_image-300x300.png,PR,en,partner,Female,2024-11-11,2024-11-17,2024,46
twitch,loud_coringa,loud_coringa,569325723,628033,45823,23552,1600,11296,,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/c07acddc-1e1b-479f-97c4-09636f80e857-profile_image-300x300.png,BR,pt,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,piratesoftware,PirateSoftware,151368796,619011,22622,12001,3095,10373,,Ashes of Creation,https://static-cdn.jtvnw.net/jtv_user_pictures/9a1edcb1-7d62-48ab-b071-1ef64ab0f629-profile_image-300x300.png,US,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,alanzoka,alanzoka,38244180,608730,33082,16162,2260,7111,,Red Dead Redemption,https://static-cdn.jtvnw.net/jtv_user_pictures/64d44235-1dee-4bca-95da-bee1ee96eea3-profile_image-300x300.png,BR,pt,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,valorant,VALORANT,490592527,599914,29854,14172,2540,43023,2074494,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/34c5c8da-19b6-47b2-85ba-cc7ae87f1413-profile_image-300x300.png,,en,partner,Organization,2024-11-11,2024-11-17,2024,46
twitch,elajjaz,Elajjaz,26921830,590307,12810,9213,3845,353,,Age of Mythology,https://static-cdn.jtvnw.net/jtv_user_pictures/e85bf53e-8e0a-4a35-824d-d2958293c3a6-profile_image-300x300.png,SE,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,riotgames,Riot Games,36029255,586279,331814,219855,160,153661,,Arcane,https://static-cdn.jtvnw.net/jtv_user_pictures/63ba1031-fb2d-4a29-9288-b1ea947f19b1-profile_image-300x300.png,US,en,partner,Organization,2024-11-11,2024-11-17,2024,46
twitch,lacy,Lacy,494543675,577223,23440,15026,2305,7596,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/701f5110-3812-42e0-8659-42dd8cf66e07-profile_image-300x300.png,US,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,swagg,Swagg,39724467,571790,5855,3446,9960,10427,,Call of Duty: Black Ops 6,https://static-cdn.jtvnw.net/jtv_user_pictures/2f7712de-741b-4722-857b-c1604f8c4d01-profile_image-300x300.png,US,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,xqc,xQc,71092938,570908,53721,26658,1285,9912,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-300x300.jpeg,CA,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,nooreax,nooreax,172312401,568073,17526,5146,6625,26113,,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/cf4d614e-35d9-43ec-8dc4-63de61989132-profile_image-300x300.png,DE,de,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,paulinholokobr,PaulinhoLOKObr,531177917,560321,43285,25861,1300,6802,,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/d96bbd7a-26e5-4c5e-b6a5-149d708a973b-profile_image-300x300.png,BR,pt,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,kyedae,Kyedae,445529741,555722,23657,10933,3050,21725,1682279,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/d7bab577-5fec-4ce7-9410-6bd46e0bce87-profile_image-300x300.png,CA,en,partner,Female,2024-11-11,2024-11-17,2024,46
twitch,hanjoudesu,はんじょう,524474488,554338,14644,8870,3750,1113,,Monster Hunter: World,https://static-cdn.jtvnw.net/jtv_user_pictures/5c970817-82cf-4bc5-9949-248947ff1150-profile_image-300x300.png,JP,ja,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,rainbow6,Rainbow6,65171890,551983,34460,18555,1785,7287,742485,Tom Clancy's Rainbow Six Siege,https://static-cdn.jtvnw.net/jtv_user_pictures/36a216c9-8d23-4114-a39c-65b5925aa5a4-profile_image-300x300.png,,en,partner,Organization,2024-11-11,2024-11-17,2024,46
twitch,gaules,Gaules,181077473,549045,10159,3312,9950,541,1194394,Back 4 Blood,https://static-cdn.jtvnw.net/jtv_user_pictures/ea0fe422-84bd-4aee-9d10-fd4b0b3a7054-profile_image-300x300.png,BR,pt,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,nl_kripp,nl_Kripp,29795919,538879,7746,5580,5795,2745,,The Bazaar,https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-300x300.png,CA,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,lirik,LIRIK,23161357,532971,22845,13844,2310,-235,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/38e925fc-0b07-4e1e-82e2-6639e01344f3-profile_image-300x300.png,US,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,stableronaldo,stableronaldo,246450563,531021,38041,15282,2085,17541,,Call of Duty: Black Ops 6,https://static-cdn.jtvnw.net/jtv_user_pictures/9aea787b-a758-4ffa-b4b0-b8c3e75f6231-profile_image-300x300.png,US,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,xrohat,xRohat,430023505,500784,46279,10507,2860,18872,498513,Fortnite,https://static-cdn.jtvnw.net/jtv_user_pictures/dc99030e-69b1-4e11-b381-e1507c991ff0-profile_image-300x300.png,DE,de,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,scump,scump,13240194,488078,36849,16880,1735,3793,,Call of Duty: Black Ops 6,https://static-cdn.jtvnw.net/jtv_user_pictures/ee612ff1-397f-411b-aeb0-6ac53219de31-profile_image-300x300.png,US,en,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,gronkh,GRONKH,12875057,485749,30899,18331,1590,1198,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/gronkh-profile_image-76b34139eaa46bb5-300x300.png,DE,de,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,trymacs,Trymacs,64342766,475859,29359,11560,2470,4416,,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/22a56845-20d0-4e14-932e-0ec099b088eb-profile_image-300x300.png,DE,de,partner,Male,2024-11-11,2024-11-17,2024,46
twitch,bratishkinoff,bratishkinoff,99899949,469255,25512,14403,1955,7818,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/ababebac-f06f-40e7-b19c-2436b9311c1a-profile_image-300x300.png,RU,ru,partner,Male,2024-11-11,2024-11-17,2024,46
